Android-inspired jumpsuit with built-in holographic interface, Madam, Average Height, in shape, Heart-Shaped Face, Olive Skin, White Hair, dark brown Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Waterfall Braid,  black metallic lipstick  
astroneer uniform, Enchantress, Short, Thin, Heart-Shaped Face, Olive Skin, Red Hair, amber Eyes, Short Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Long Curly Hair,  fuchsia velvet  lipstick  
Nanofiber bodysuit with integrated bioluminescent patterns, Seductress, Tall, Narrow Hips, Round Face, Tan Skin, Red Hair, brown Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Smooth Waves,  green sheer  lipstick  
Interstellar explorer suit, Maven, Tall, Thin, Oval Face, Dark Skin, Auburn Hair, light blue Eyes, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Low Updo,  coral satin  lipstick  
Alien advanced cloak, Heiress, Tall, Fit, Oval Face, Olive Skin, Brunette Hair, ice blue Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Long Curly Hair,  violet stain  lipstick  
Molecular fabric jumpsuit that changes color based on emotions, Madame, Short, Toned, Round Face, Tan Skin, Strawberry Blonde Hair, ruby Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Coarse Hair, Long Wavy Hair,  red velvet  lipstick  
Glow-in-the-dark catsuit with detachable hood, Charmer, Tall, Fit, Heart-Shaped Face, Dark Skin, Chestnut Hair, Amber Eyes, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Long Wavy Hair,  brown cream  lipstick  
Geminfused bodysuit, Siren, Short, Skinny, Diamond-Shaped Face, Dark Skin, Chestnut Hair, amber Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Sleek Bun,  green matte  lipstick  
Futuristic trench coat with glowing accents, Goddess, Short, Lean, Round Face, Fair Skin, Gray Hair, green Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Four-Strand Braid,   terracotta stain  lipstick  
Enchanted tunic and leggings with intricate crystal patterns, Femme fatale, Tall, Fit, Heart-Shaped Face, Olive Skin, Dark Brown Hair, black Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair,  choppy bob,  berry velvet  lipstick  
Robotic exosuit with integrated AI assistant, Superwoman, Short, Fit, Heart-Shaped Face, Fair Skin, White Hair, grey-blue Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Long Curled Updo,  light pink satin  lipstick  
Aero-dynamic flight suit with wing-like attachments, Madame, Short, Wide Hips, Heart-Shaped Face, Fair Skin, Black Hair, gold Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Shoulder-Length Curls,  pink gloss  lipstick  
Plasma-powered jumpsuit with pulsating energy patterns, Dame, Short, Slim, Oval Face, Tan Skin, Platinum Blonde Hair, coral Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves,  cream matte  lipstick  
Alien ambassador ensemble, Visionary, Average Height, Athletic, Round Face, Tan Skin, Gray Hair, Hazel Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Braided Updo,  cream stain  lipstick  
Chromatic suit with liquid metal textures, Countess, Tall, in shape, Triangular Face, Dark Skin, Light Brown Hair, pink Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob,  cream velvet  lipstick  
Hooded cloak with bioluminescent patterns, Trailblazer, Tall, in shape, Heart-Shaped Face, Tan Skin, Light Brown Hair, Gray Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, French Twist,  plum cream  lipstick  
astroneer uniform, Starlet, Average Height, Thin, Diamond-Shaped Face, Fair Skin, Red Hair, teal Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob,  lavender velvet  lipstick  
Hyperdimensional fabric jumpsuits, Madame, Average Height, Slim, Round Face, Olive Skin, Red Hair, Hazel Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Chignon,  black stain  lipstick  
Elaborate tunic and pants in iridescent hues, Charmer, Tall, Athletic, Triangular Face, Tan Skin, Auburn Hair, green Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Sleek Straight Hair,  teal cream  lipstick  
Holographic projection suits, Trailblazer, Average Height, Slim, Oval Face, Tan Skin, Auburn Hair, dark brown Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Thick Hair, Long Curly Hair,  berry metallic  lipstick  
Geminfused bodysuit, Escort, Short, Toned, Heart-Shaped Face, Fair Skin, Blonde Hair, dark brown Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Middle Part Bangs,  cream satin  lipstick  
Adaptive nano-fiber suits, Seductress, Tall, Narrow Hips, Round Face, Tan Skin, White Hair, amber Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Wedding Updo,  augmented bodyparts,  light pink velvet  lipstick  
Light-based energy harnessing suit with luminescent patterns, Femme fatale, Short, Lean, Triangular Face, Dark Skin, Black Hair, brown Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Straight Bob with Layers, red matte  lipstick  
Shimmering jumpsuit with angular cuts, Diva, Average Height, Wide Hips, Oval Face, Fair Skin, Honey Blonde Hair, grey-blue Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Low Updo,  black stain  lipstick  
Vibrant coat with luminescent energy trails, Babe, Tall, Firm, Diamond-Shaped Face, Tan Skin, Platinum Blonde Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Curly Hair, Middle Part Bangs,  soft pink gloss  lipstick  
Interstellar explorer suit, Empress, Average Height, Fit, Round Face, Tan Skin, Blonde Hair, red Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Braided Crown,   green satin  lipstick  
